"unigram","bigram","trigram","quadgram","freq"
"the","end","of","the",354
"at","the","end","of",320
"the","rest","of","the",306
"for","the","first","time",292
"at","the","same","time",223
"one","of","the","most",211
"is","one","of","the",189
"in","the","middle","of",188
"when","it","comes","to",180
"to","be","able","to",172
"if","you","want","to",152
"i","dont","want","to",149
"is","going","to","be",147
"one","of","the","best",143
"thanks","for","the","follow",140
"in","the","u","s",132
"in","the","united","states",128
"going","to","be","a",123
"the","middle","of","the",120
"the","top","of","the",112
"a","lot","of","people",109
"on","the","other","hand",107
"i","was","going","to",105
"will","be","able","to",103
"i","would","like","to",101
"by","the","end","of",98
"as","well","as","the",97
"in","front","of","the",95
"was","one","of","the",94
"at","the","university","of",93
"for","the","rest","of",92
"its","going","to","be",92
"the","bottom","of","the",92
"i","am","going","to",90
"said","in","a","statement",88
"a","bit","of","a",87
"going","to","have","to",87
"the","first","time","in",85
"cant","wait","to","see",84
"a","little","bit","of",83
"i","was","able","to",83
"one","of","my","favorite",82
"what","do","you","think",81
"i","cant","wait","to",80
"have","a","lot","of",79
"i","dont","know","if",79
"are","going","to","be",74
"to","go","to","the",72
"as","much","as","i",71
"as","part","of","the",70
"i","want","to","be",70
"in","the","block","of",70
"thank","you","for","the",69
"the","back","of","the",69
"you","dont","have","to",69
"a","member","of","the",68
"i","wish","i","could",68
"there","are","so","many",68
"was","going","to","be",68
"i","dont","know","what",67
"most","of","the","time",67
"of","the","u","s",67
"for","the","most","part",66
"at","the","top","of",65
"i","just","want","to",65
"we","are","going","to",65
"i","have","to","say",64
"i","would","love","to",64
"in","the","first","place",64
"thanks","for","the","rt",64
"as","a","result","of",62
"for","a","couple","of",62
"for","a","long","time",62
"in","one","of","the",61
"the","best","way","to",60
"as","one","of","the",59
"in","the","midst","of",59
"end","of","the","day",58
"in","the","first","half",58
"to","be","in","the",58
"to","the","u","s",58
"turned","out","to","be",58
"in","addition","to","the",57
"in","the","first","round",57
"if","you","have","a",56
"the","other","side","of",56
"a","few","years","ago",55
"as","well","as","a",55
"im","not","going","to",55
"thank","you","so","much",55
"nothing","to","do","with",54
"i","dont","know","how",53
"it","would","be","a",53
"on","the","other","side",53
"should","be","able","to",53
"the","fact","that","i",53
"the","fact","that","the",53
"a","lot","of","time",52
"at","the","beginning","of",52
"as","soon","as","i",51
"i","have","no","idea",51
"in","a","way","that",51
"in","the","form","of",51
"looking","forward","to","the",51
"on","top","of","the",51
"the","name","of","the",51
"for","those","of","you",50
"i","feel","like","i",50
"in","the","early","s",50
"the","new","york","times",50
"this","is","the","first",50
"as","you","can","see",49
"for","most","of","the",49
"i","didnt","want","to",49
"in","the","second","half",49
"on","my","way","to",49
"the","beginning","of","the",49
"the","first","time","since",49
"those","of","you","who",49
"to","do","with","the",49
"a","lot","of","the",48
"and","one","of","the",48
"find","a","way","to",48
"to","get","to","the",48
"you","are","going","to",48
"you","dont","want","to",48
"a","great","deal","of",47
"i","dont","have","a",47
"the","side","of","the",47
"this","is","one","of",47
"to","come","up","with",47
"all","over","the","world",46
"let","me","know","if",46
"there","will","be","a",46
"to","get","rid","of",46
"a","couple","of","years",45
"for","more","than","a",45
"i","dont","have","to",45
"of","the","united","states",45
"thanks","so","much","for",45
"the","center","of","the",45
"there","are","a","lot",45
"a","few","weeks","ago",44
"are","a","lot","of",44
"as","part","of","a",44
"i","thought","it","was",44
"in","the","back","of",44
"is","one","of","my",44
"not","going","to","be",44
"to","go","back","to",44
"at","the","bottom","of",43
"at","the","time","of",43
"in","front","of","me",43
"some","of","the","best",43
"the","first","time","i",43
"theres","a","lot","of",43
"to","get","back","to",43
"with","the","help","of",43
"you","would","like","to",43
"a","couple","of","days",42
"a","couple","of","weeks",42
"a","lot","of","fun",42
"at","the","age","of",42
"be","one","of","the",42
"in","the","face","of",42
"in","the","name","of",42
"the","u","s","and",42
"to","get","out","of",42
"when","i","was","a",42
"and","a","lot","of",41
"and","the","rest","of",41
"contributed","to","this","report",41
"it","was","one","of",41
"to","be","one","of",41
"to","be","part","of",41
"a","great","way","to",40
"all","the","way","to",40
"at","a","time","when",40
"be","able","to","get",40
"figure","out","how","to",40
"in","an","effort","to",40
"it","was","a","good",40
"know","what","to","do",40
"one","of","the","things",40
"other","side","of","the",40
"over","and","over","again",40
"the","united","states","and",40
"there","are","plenty","of",40
"thought","it","would","be",40
"you","have","to","be",40
"come","up","with","a",39
"he","was","going","to",39
"i","dont","know","why",39
"the","size","of","the",39
"this","is","not","a",39
"to","make","sure","that",39
"would","be","a","good",39
"you","have","to","do",39
"a","part","of","the",38
"i","dont","think","i",38
"i","think","it","is",38
"if","you","dont","have",38
"im","looking","forward","to",38
"in","the","first","quarter",38
"it","was","the","first",38
"a","spokesman","for","the",37
"as","a","way","to",37
"i","look","forward","to",37
"in","new","york","city",37
"in","the","s","and",37
"the","front","of","the",37
"the","time","of","the",37
"with","some","of","the",37
"a","few","of","the",36
"and","i","have","to",36
"be","a","part","of",36
"from","time","to","time",36
"had","a","lot","of",36
"have","a","great","day",36
"i","am","not","a",36
"i","thought","i","would",36
"i","was","trying","to",36
"i","wish","i","had",36
"in","the","case","of",36
"in","the","history","of",36
"in","the","process","of",36
"is","one","of","those",36
"it","has","been","a",36
"it","was","time","to",36
"let","me","tell","you",36
"my","husband","and","i",36
"not","be","able","to",36
"some","of","the","most",36
"the","heart","of","the",36
"trying","to","figure","out",36
"what","to","do","with",36
"dont","get","me","wrong",35
"going","to","be","the",35
"i","just","wanted","to",35
"i","need","to","get",35
"in","and","out","of",35
"is","part","of","the",35
"of","one","of","the",35
"on","the","side","of",35
"the","middle","of","a",35
"the","start","of","the",35
"to","be","on","the",35
"to","the","end","of",35
"want","to","be","a",35
"with","a","lot","of",35
"despite","the","fact","that",34
"end","of","the","year",34
"executive","director","of","the",34
"for","the","sake","of",34
"from","am","to","pm",34
"i","have","to","admit",34
"in","a","lot","of",34
"in","the","mid","s",34
"in","the","third","quarter",34
"it","will","be","a",34
"one","of","the","few",34
"open","to","the","public",34
"take","a","look","at",34
"this","is","going","to",34
"this","time","of","year",34
"u","s","department","of",34
"you","want","to","be",34
"a","lot","of","things",33
"by","the","time","i",33
"had","a","great","time",33
"hope","to","see","you",33
"i","want","to","do",33
"if","you","are","a",33
"if","you","have","any",33
"in","the","late","s",33
"in","the","way","of",33
"one","of","the","biggest",33
"player","of","the","year",33
"thank","you","for","your",33
"the","end","of","a",33
"there","is","a","lot",33
"wont","be","able","to",33
"all","over","the","place",32
"and","i","will","be",32
"as","much","as","possible",32
"dont","want","to","be",32
"for","a","few","days",32
"i","thought","it","would",32
"i","want","to","go",32
"im","not","sure","if",32
"more","than","a","decade",32
"not","to","mention","the",32
"on","the","verge","of",32
"on","the","way","to",32
"once","in","a","while",32
"over","the","course","of",32
"the","past","two","years",32
"the","s","and","s",32
"the","way","to","the",32
"this","is","what","i",32
"are","you","going","to",31
"as","long","as","you",31
"here","are","a","few",31
"i","really","wanted","to",31
"if","you","would","like",31
"in","the","fourth","quarter",31
"it","was","a","great",31
"one","of","the","first",31
"the","end","of","this",31
"the","first","day","of",31
"the","head","of","the",31
"to","take","care","of",31
"what","is","going","on",31
"would","you","like","to",31
"a","lot","of","money",30
"and","the","fact","that",30
"but","in","the","end",30
"do","you","want","to",30
"have","a","great","weekend",30
"have","to","go","to",30
"i","wish","i","was",30
"im","going","to","be",30
"in","the","right","direction",30
"in","the","same","way",30
"is","a","good","thing",30
"its","one","of","the",30
"me","know","if","you",30
"more","than","a","year",30
"not","the","only","one",30
"said","in","an","interview",30
"this","is","not","the",30
"to","figure","out","how",30
"to","keep","up","with",30
"to","the","point","where",30
"was","the","first","time",30
"a","long","way","to",29
"and","as","a","result",29
"have","been","able","to",29
"i","had","no","idea",29
"in","an","attempt","to",29
"in","front","of","a",29
"in","washington","d","c",29
"looking","forward","to","it",29
"on","the","edge","of",29
"out","of","the","way",29
"that","this","is","the",29
"the","only","one","who",29
"the","only","thing","that",29
"the","rest","of","my",29
"to","check","out","the",29
"to","deal","with","the",29
"to","one","of","the",29
"to","the","united","states",29
"two","and","a","half",29
"was","supposed","to","be",29
"and","some","of","the",28
"but","i","dont","think",28
"by","the","time","the",28
"by","the","u","s",28
"did","not","want","to",28
"did","you","know","that",28
"do","you","have","a",28
"fell","in","love","with",28
"going","to","have","a",28
"had","a","chance","to",28
"hundreds","of","thousands","of",28
"i","am","not","sure",28
"i","dont","have","any",28
"i","think","it","was",28
"i","think","this","is",28
"in","a","long","time",28
"in","the","living","room",28
"in","the","wake","of",28
"middle","of","the","night",28
"so","i","decided","to",28
"that","there","is","a",28
"the","first","half","of",28
"the","state","department","of",28
"the","th","anniversary","of",28
"the","u","s","department",28
"to","give","it","a",28
"to","say","the","least",28
"to","share","with","you",28
"to","the","top","of",28
"u","s","district","court",28
"want","to","go","to",28
"was","one","of","those",28
"were","going","to","have",28
"would","love","to","see",28
"you","need","to","be",28
"a","little","bit","more",27
"and","i","know","that",27
"and","i","want","to",27
"and","the","u","s",27
"as","far","as","i",27
"at","the","heart","of",27
"do","the","right","thing",27
"do","you","have","any",27
"dont","know","how","to",27
"for","all","of","the",27
"give","it","a","try",27
"has","a","lot","of",27
"i","want","to","see",27
"i","went","to","the",27
"if","you","are","interested",27
"in","a","series","of",27
"is","not","going","to",27
"it","is","important","to",27
"it","was","going","to",27
"know","what","you","think",27
"looking","forward","to","seeing",27
"may","or","may","not",27
"please","let","me","know",27
"so","that","i","can",27
"the","edge","of","the",27
"to","be","a","part",27
"to","years","in","prison",27
"up","and","down","the",27
"wait","to","see","you",27
"what","are","you","doing",27
"what","was","going","on",27
"you","can","see","the",27
"a","chance","to","win",26
"a","few","days","ago",26
"a","lot","of","work",26
"a","trip","to","the",26
"a","wide","range","of",26
"are","some","of","the",26
"as","soon","as","possible",26
"at","the","start","of",26
"do","not","want","to",26
"have","no","idea","what",26
"have","to","do","is",26
"he","said","he","was",26
"hope","you","have","a",26
"i","feel","like","im",26
"i","have","to","do",26
"i","need","to","do",26
"i","really","need","to",26
"i","thought","i","was",26
"in","the","last","few",26
"is","supposed","to","be",26
"it","is","time","to",26
"like","a","lot","of",26
"of","some","of","the",26
"that","it","would","be",26
"the","day","of","the",26
"the","only","way","to",26
"there","are","a","few",26
"to","the","fact","that",26
"were","not","going","to",26
"what","do","you","do",26
"you","just","have","to",26
"a","look","at","the",25
"all","of","a","sudden",25
"and","i","had","to",25
"be","able","to","do",25
"for","a","few","minutes",25
"get","out","of","the",25
"go","to","www","dot",25
"i","dont","know","about",25
"i","have","a","few",25
"i","have","to","be",25
"i","was","in","the",25
"in","a","couple","of",25
"in","the","long","run",25
"in","the","near","future",25
"in","the","parking","lot",25
"in","the","world","of",25
"is","a","lot","of",25
"is","expected","to","be",25
"is","the","first","time",25
"it","needs","to","be",25
"it","was","a","very",25
"just","a","little","bit",25
"make","it","to","the",25
"of","the","things","that",25
"of","the","year","and",25
"one","of","the","many",25
"one","of","the","more",25
"out","of","the","house",25
"take","the","time","to",25
"thank","you","to","all",25
"that","it","was","a",25
"the","power","of","the",25
"there","you","have","it",25
"to","be","a","good",25
"to","do","the","same",25
"to","get","into","the",25
"we","look","forward","to",25
"would","be","able","to",25
"a","copy","of","the",24
"a","couple","of","times",24
"a","few","of","my",24
"as","far","as","the",24
"as","long","as","i",24
"but","you","have","to",24
"cant","wait","for","the",24
"for","some","reason","i",24
"for","the","u","s",24
"from","all","over","the",24
"happy","mothers","day","to",24
"have","no","idea","how",24
"he","was","able","to",24
"i","am","trying","to",24
"i","can","tell","you",24
"i","cant","help","but",24
"i","dont","feel","like",24
"i","really","want","to",24
"im","going","to","do",24
"im","going","to","have",24
"in","the","center","of",24
"in","the","hands","of",24
"it","had","to","be",24
"it","is","one","of",24
"it","would","have","been",24
"long","way","to","go",24
"makes","me","want","to",24
"no","matter","how","much",24
"not","being","able","to",24
"on","the","back","of",24
"one","of","the","reasons",24
"one","of","the","top",24
"right","in","front","of",24
"square","feet","on","for",24
"thanks","for","the","retweet",24
"that","i","have","to",24
"that","you","have","to",24
"the","history","of","the",24
"the","last","day","of",24
"the","next","few","days",24
"the","number","of","people",24
"the","rest","of","us",24
"the","story","of","a",24
"there","are","lots","of",24
"there","is","so","much",24
"those","of","us","who",24
"to","find","a","way",24
"to","learn","more","about",24
"to","make","up","for",24
"to","return","to","the",24
"to","take","advantage","of",24
"u","s","district","judge",24
"what","i","want","to",24
"about","percent","of","the",23
"and","i","wanted","to",23
"at","the","center","of",23
"at","the","expense","of",23
"at","the","time","i",23
"back","in","the","day",23
"but","that","doesnt","mean",23
"for","the","second","time",23
"has","to","do","with",23
"have","the","opportunity","to",23
"have","to","deal","with",23
"i","felt","like","i",23
"i","have","to","go",23
"i","think","i","have",23
"i","want","you","to",23
"i","was","a","bit",23
"in","a","variety","of",23
"in","the","city","of",23
"in","the","new","york",23
"in","the","second","quarter",23
"it","has","to","be",23
"it","is","hard","to",23
"might","be","able","to",23
"on","the","part","of",23
"over","the","next","few",23
"quite","a","bit","of",23
"said","it","was","a",23
"that","one","of","the",23
"that","would","be","a",23
"the","people","in","the",23
"the","size","of","a",23
"the","u","s","supreme",23
"to","be","the","best",23
"to","look","forward","to",23
"to","pick","up","the",23
"to","say","that","i",23
"to","some","of","the",23
"u","s","supreme","court",23
"want","it","to","be",23
"want","to","make","sure",23
"was","a","lot","of",23
"we","went","to","the",23
"what","it","takes","to",23
"with","the","rest","of",23
"you","are","interested","in",23
"you","need","to","do",23
"a","big","part","of",22
"a","couple","of","hours",22
"a","friend","of","mine",22
"a","good","place","to",22
"a","large","number","of",22
"a","whole","lot","of",22
"all","you","have","to",22
"amazon","services","llc","and",22
"an","hour","and","a",22
"and","it","was","a",22
"as","long","as","the",22
"at","this","point","i",22
"be","part","of","the",22
"but","i","have","to",22
"dont","know","what","to",22
"for","a","lot","of",22
"get","a","chance","to",22
"got","a","lot","of",22
"hope","all","is","well",22
"hour","and","a","half",22
"i","cant","wait","for",22
"i","had","to","go",22
"if","youre","going","to",22
"in","the","bottom","of",22
"in","u","s","district",22
"its","not","going","to",22
"keep","up","the","good",22
"not","a","fan","of",22
"of","the","block","of",22
"on","the","one","hand",22
"one","of","a","kind",22
"one","of","the","largest",22
"rest","of","the","world",22
"some","of","the","more",22
"the","course","of","the",22
"the","good","news","is",22
"the","last","few","years",22
"the","most","important","thing",22
"there","is","only","one",22
"there","should","be","a",22
"there","will","be","no",22
"to","the","point","of",22
"with","salt","and","pepper",22
"would","like","to","see",22
"you","look","at","the",22
"you","need","to","know",22
"you","so","much","for",22
"a","picture","of","the",21
"a","way","to","get",21
"an","integral","part","of",21
"and","i","dont","know",21
"and","it","will","be",21
"anything","to","do","with",21
"are","not","going","to",21
"be","able","to","make",21
"both","sides","of","the",21
"but","it","was","a",21
"dont","know","if","i",21
"for","minutes","or","until",21
"have","a","chance","to",21
"i","dont","even","know",21
"i","dont","have","the",21
"i","had","to","do",21
"i","think","its","a",21
"i","will","have","to",21
"if","i","had","a",21
"if","you","dont","like",21
"if","you","look","at",21
"im","not","sure","what",21
"in","the","bay","area",21
"in","the","morning","and",21
"in","the","past","year",21
"in","the","real","world",21
"in","the","world","and",21
"it","out","of","the",21
"it","was","a","little",21
"just","in","time","for",21
"more","than","million","in",21
"on","a","daily","basis",21
"one","of","the","greatest",21
"out","to","be","a",21
"over","the","past","few",21
"something","to","do","with",21
"take","advantage","of","the",21
"tens","of","thousands","of",21
"that","i","need","to",21
"that","the","u","s",21
"the","cost","of","the",21
